Airtel,Asian Paints,Axis bank,Coal India,LT,Reliance,SBI,Tata Motors,Tata steel,Wipro
408.95,1184.45,538.9,285.55,1720.6,1376.8,242.65,336.8,589.65,275.35
408.85,1159.85,494.55,290.3,1729.55,1347,233.35,330.3,579.05,281.45
419.8,1165.25,498.4,290.7,1748.05,1359.75,237.4,328.65,586.2,287.2
406.1,1173.1,505.25,290.1,1763,1377.45,240.6,331.55,598.25,287.05
403.65,1178.6,506.45,289.2,1750.95,1360.45,242.7,333.5,605.7,296.85
400.75,1159.1,505.85,292.05,1745.95,1363.7,241.4,336.25,606.35,298.35
394.95,1166.8,513.5,282.85,1730.6,1384.3,246.25,334.85,620.55,291.6
384.8,1171.25,518.7,285.05,1687.65,1360.65,246.25,335.5,601.5,292.7
381.3,1175.15,532.55,287.6,1681.05,1360.25,248.2,336.9,595.85,285.5
377.2,1177.9,542.2,285.1,1670.9,1367.35,249.3,338.95,592.4,289.95
377.8,1162.8,541.9,285.35,1671.15,1355.3,251.2,356.65,595.3,293.35
380.1,1164.15,548.3,280.95,1680.4,1357.55,254.3,358.05,598.55,286.8
384.55,1155.5,539.5,282.35,1678,1351.4,257.3,355.3,607.7,286
385.55,1155.3,546,280.5,1699.25,1348.55,263.25,353.4,601.7,285.6
380.75,1158.05,517.9,274.45,1704.8,1326.25,260.55,358.3,586.55,284.6
385.4,1143.8,500.7,275.45,1674.7,1311.1,259.8,363.85,586.35,284.1
393.95,1145.2,503.15,276.6,1686.5,1328.55,258.4,363.6,581,285.35
394.5,1137.6,490.15,274.4,1682.65,1296.35,246.9,355.7,560.45,281.6
401.65,1152.9,503.3,278.45,1696.85,1329.9,250.35,343.35,579.5,283.9
394.45,1149.15,498.2,277.8,1660.65,1336,246.3,338.8,578.55,289.75
398.9,1120.7,509.4,283.5,1577.6,1311.9,250.1,327.45,570.9,281.45
411.45,1131.75,511.25,275.4,1557.65,1306.85,253.85,331.05,590.05,272.55
421.65,1118.8,507.5,272.9,1556.05,1295.15,246.35,332.05,582.45,273.9
411.15,1107.65,501,269.25,1545.75,1267.75,234.6,331.1,566.6,285.2
415.25,1107.35,518.3,269,1546.65,1294.5,241.6,338.2,580.55,289.25
418.6,1103.85,525.35,271.2,1551.35,1308.4,247.7,333.9,582.35,295.55
400.15,1106.55,520.9,270.35,1546.1,1293.7,249.25,339.25,593.3,293.75
400.8,1102.5,520.25,271.7,1529.95,1279.7,248.1,335.75,575.05,288.05
418.2,1125.45,523.45,278.7,1549.55,1267.6,252.6,340.1,600.5,295.75
420.7,1160.95,528.95,295.5,1538.25,1295.05,254.1,353.05,611.4,293.25
422.5,1136.6,535.55,293.55,1550.7,1302.45,257,354.15,620.45,293.35
425.9,1137.8,530.8,294.75,1568.3,1302.15,254.9,353.75,628.3,295.55
420.75,1130.95,519.2,297.8,1547.3,1309.85,252.85,352.2,622.7,290.75
401.95,1127.75,505.35,304.7,1557.55,1290.15,253.15,341.7,605.6,285.2
401.2,1125.6,520.15,305.9,1491.95,1283.25,256.75,345.9,635.2,285
403.4,1107.95,512.8,306.45,1476.95,1263.1,246.65,348,648,285.2
413.85,1102.75,516.8,306.45,1475.2,1284.2,256.5,346.6,660.5,286.15
421.2,1104.3,523.65,305.5,1484.65,1301.75,263.8,352.15,655.35,290.55
426.75,1119.6,526.1,312.8,1482.1,1313.2,262.55,370.85,675.3,292
427.35,1118.85,529.6,309.55,1469.05,1319.1,268.75,370.2,671.7,292.8
431.05,1110.2,537.5,310.65,1475,1337.8,267.8,372.85,671.85,292.4
422.3,1106.25,552.3,314.2,1475.3,1339.2,274.75,372.05,680.25,291.9
425.45,1101.9,536.55,310.55,1470.25,1302.35,276.1,360.45,677.8,294.15
416.05,1116.35,530,312.05,1468.25,1291.25,272.6,358.55,637.85,292.4
419.35,1125.55,535.2,310.9,1486.05,1283.15,273.1,364.35,640.55,292.25
417.65,1126.7,531.7,310.25,1477.25,1290.45,269.65,368.9,650.75,291.35
414.15,1122.45,539.45,304.65,1482.95,1296.75,267.65,367.75,648.25,290.05
419.45,1143.7,537.75,303,1481.65,1327.95,271.75,370.55,688.3,290.7
428.3,1136.7,543.75,307.35,1478,1350.15,278.85,376.15,699.85,291.55
434.2,1140.65,543.95,307.6,1470.4,1357.7,276.8,376.85,708.35,293
424.05,1145.45,562.8,300.2,1480.1,1351.05,288.5,372.45,712.5,287.9
421.75,1131.55,557.5,300.45,1492.9,1329.35,296.4,369.2,683.65,285
429.5,1124,568.5,300.1,1497.25,1347.25,301.45,374.85,671.35,289.6
429.85,1121,558.7,297.85,1501.1,1332.65,292.75,377.5,660.55,289.45
438.75,1110.85,564.1,290.65,1489.1,1354,291.5,374.45,664.95,294.9
439.5,1134.35,566.1,295.05,1502.85,1362.75,297.7,396.05,664.55,298.55
421.8,1138.3,564.95,292.15,1500.05,1414.4,296.9,384.05,669.7,300.5
438.05,1152.45,590.2,295.8,1484.95,1455.8,305.55,394.65,696.3,301.25
