BHEL,BOB,Britannia,Colgate,Dabur,Godrej,Havells,MRF,Oracle FS,Titan
90.15,170,4761.85,1032.65,344.05,976.45,506.35,66842.75,3753.55,792.6
90.75,170.1,4763.25,1033.15,341.45,978.5,511.9,66333.1,3737,804.55
91.1,167.6,4805.95,1028.65,340.75,975.7,508.3,66169.15,3704.85,805.25
92,169.1,4815.6,1036.65,344.3,961.5,509.3,68583.5,3694.05,818.9
93.6,171.65,4811.15,1049.3,339.9,976.35,521.55,69275.15,3741.4,818.1
94.1,172.25,4794.7,1054.1,344.9,980.95,518.95,69597.35,3703.25,818.1
92.1,175.4,4796.9,1060.6,342.4,950.05,520.7,70215.15,3690.1,832.6
92.3,176.85,4742,1055.25,344.5,972.55,519.5,69405.45,3712.85,829.3
92.85,178.1,4782.35,1047.4,340.05,955.5,505.35,69189.6,3702.2,805.9
88.65,180.65,4775.15,1035.9,339.35,955.5,500,69692.85,3698.15,813.15
87.45,180.35,4816.9,1044.3,339.8,950.05,505.8,69830.5,3702.7,815.45
87.25,184.45,4763.2,1045.15,337.55,957.55,510.7,68718.95,3663.35,783.95
87.85,183.55,4750.05,1041.4,336.5,944.1,507.8,69437.35,3648.75,786.3
87.75,182.8,4736.7,1038.3,339.1,931.35,498.25,69730.8,3648.55,768.3
88.3,175.2,4749.75,1040.65,334.9,915.6,505.4,68392.3,3629.7,771.05
91.15,174.35,4788.35,1056.8,337.95,929.5,511.75,67643.45,3639.9,774.3
89.4,172.1,4882.3,1047.5,337.45,933.85,510,68320.9,3644.25,765.1
92.5,169.8,4873,1039.6,342.1,958.85,501.55,67359.05,3640.55,782.05
92.1,165.55,4757.95,1040.45,348.45,974.55,516.7,64994.15,3665.25,777.9
90,162.3,4653.5,1020.8,338.25,966.1,503.7,65162.45,3655,743.3
93.2,165.25,4649,1033.7,340.15,980.7,502.5,65712.6,3644.5,753.8
99,172.6,4643.05,1044.2,342.55,971.05,499.6,67399.4,3523.25,783.7
100,171.75,4658.1,1034.45,340.4,972.2,493.6,66483.4,3557.1,659.75
97.65,169.55,4658.65,1039.55,342.65,978.4,496.2,65726.85,3533.85,655.15
98.9,172.45,4697.25,1040.4,349.55,967.6,491.75,66002.5,3532.4,637.45
98,169.9,4639.5,1064.65,332.85,933.9,484.75,66422.45,3499.25,635.25
95.85,174.65,4745.9,1065.1,322.25,926.3,489.6,66779.15,3521.1,618.3
95.15,174.4,4597.35,1057.55,322.95,926.9,482.4,64771.1,3525.7,590.05
96.55,185.7,4604.65,1054.65,322.8,923.05,484.2,63156.15,3518.3,584.65
90.7,188.15,4644.25,1037.95,323.1,921.85,493.85,63089.15,3574.9,590.75
88.2,143.15,4625.85,1057.45,318.55,932.65,503.4,63064.45,3521.4,606.05
86.75,137.9,4655.2,1061.6,316.8,938.2,541.45,63490.6,3508.85,604.05
84.6,134.9,4636.25,1046.9,318.55,958.95,547.35,63522.5,3550.95,606.95
84.75,136.7,4685.85,1054.3,319.05,965.05,545.15,63670.35,3584.7,612.9
84.25,139.15,4615.3,1041.9,319.95,969.2,548.35,63777.05,3543.25,625.75
84.05,138.2,4540.1,1063.45,321.95,976.25,544.1,63636.4,3600.25,627.45
84.25,139.55,4582.2,1092.1,321.95,971.25,541.1,63670.25,3592.8,625.15
84.4,138.55,4544.45,1108.85,325.7,974.55,531.55,63885.55,3579.85,623.45
85,138.6,4375.95,1085.8,317.75,979.7,527.45,63437.4,3506.55,610.6
86.75,141.65,4348.6,1091.05,317.3,991.8,533.25,64705.2,3535.25,615.85
86.3,141.55,4344.5,1090.2,317.65,981.2,506.95,64835.5,3537.4,616.15
85.1,141.8,4361.85,1089.65,316.05,947.85,510.15,64422.7,3598.45,596.6
83.65,139.6,4363.65,1089.8,316.35,963.7,506.4,63141.5,3604.15,595.75
83.2,137.55,4341.85,1077.9,315.25,972.45,505.65,63029.8,3632.65,600.9
83.1,137.3,4340.05,1059.6,311.3,953.85,495.15,63404.4,3626.75,600.05
83.95,137.6,4344.25,1066.75,305,919.15,483.15,63005.3,3634.75,584.55
82.65,138.55,4339.7,1075.95,310.8,900.45,472.05,61866.4,3593.3,575.65
83.1,138.5,4301.75,1061.6,305.8,907.6,476.15,61746.6,3545.7,590
85.17,142.65,4326,1080.1,308.05,912.35,491.35,62754.1,3516.4,592.25
84.83,142.6,4281.1,1084.85,312.25,932,489.95,62721.85,3479.15,602.15
86.4,141.85,4270.3,1100.75,304.7,917,495.45,62938.15,3502.65,602.3
