Date,Expiry Date,Strike Price (K),Call Price,Put Price
03-Dec-14,24-Dec-14,5000,3562.05,0.8
04-Dec-14,24-Dec-14,5000,3587,0.8
05-Dec-14,24-Dec-14,5000,3588.55,0.75
08-Dec-14,24-Dec-14,5000,3487.6,0.85
09-Dec-14,24-Dec-14,5000,3390,0.95
10-Dec-14,24-Dec-14,5000,3393.15,0.95
11-Dec-14,24-Dec-14,5000,3335.15,0.55
12-Dec-14,24-Dec-14,5000,3267.2,0.5
15-Dec-14,24-Dec-14,5000,3262.15,0
16-Dec-14,24-Dec-14,5000,3124.1,0.35
17-Dec-14,24-Dec-14,5000,3058.65,0
18-Dec-14,24-Dec-14,5000,3177.35,0.3
19-Dec-14,24-Dec-14,5000,3241.25,0.5
22-Dec-14,24-Dec-14,5000,3335.85,0.05
23-Dec-14,24-Dec-14,5000,3272.75,0.1
24-Dec-14,24-Dec-14,5000,0,0
01-Jan-14,24-Dec-14,6000,962.25,277.4
02-Jan-14,24-Dec-14,6000,909.85,303.6
03-Jan-14,24-Dec-14,6000,901.25,306.65
06-Jan-14,24-Dec-14,6000,883.15,315.05
07-Jan-14,24-Dec-14,6000,860.3,323.4
08-Jan-14,24-Dec-14,6000,855.05,325.75
09-Jan-14,24-Dec-14,6000,841.3,333.05
10-Jan-14,24-Dec-14,6000,827.05,332.45
13-Jan-14,24-Dec-14,6000,905.9,309.55
14-Jan-14,24-Dec-14,6000,891.1,322.1
15-Jan-14,24-Dec-14,6000,935.8,304.15
16-Jan-14,24-Dec-14,6000,935.45,304.7
17-Jan-14,24-Dec-14,6000,897,314.9
20-Jan-14,24-Dec-14,6000,935,306.3
21-Jan-14,24-Dec-14,6000,941.95,304.1
22-Jan-14,24-Dec-14,6000,952.05,294.95
23-Jan-14,24-Dec-14,6000,957.05,297.8
24-Jan-14,24-Dec-14,6000,902.35,314.6
27-Jan-14,24-Dec-14,6000,827.8,353.1
28-Jan-14,24-Dec-14,6000,814.95,357.45
29-Jan-14,24-Dec-14,6000,805.9,367.45
30-Jan-14,24-Dec-14,6000,766.75,373.7
31-Jan-14,24-Dec-14,6000,783.2,374.85
03-Feb-14,24-Dec-14,6000,744,394.2
04-Feb-14,24-Dec-14,6000,738.2,399.85
