Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2018,31-Dec-2020,PE,5700,0,0,0,9.7,0,0.3,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5800,0,0,0,11.35,0,0.4,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,5900,0,0,0,13.25,0,0.5,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6000,0,0,0,15.35,0,0.6,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6100,0,0,0,17.7,0,0.8,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6200,0,0,0,20.35,0,1,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6300,0,0,0,23.35,0,1.25,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6400,0,0,0,26.6,0,1.55,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6500,0,0,0,30.2,0,1.95,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6600,0,0,0,34.2,0,2.4,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6700,0,0,0,46,46,2.95,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6800,0,0,0,67,67,3.6,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,6900,0,0,0,40,40,4.35,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7000,0,0,0,54.15,0,5.25,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7100,0,0,0,60.3,0,6.25,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7200,0,0,0,70,70,7.45,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7300,0,0,0,74.05,0,8.85,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7400,0,0,0,81.7,0,10.45,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Dec-2020,PE,7500,0,0,0,69.25,69.25,12.25,0,0,0,750,0,10862.55
